# Loaded 669 datapoints from ./data/hera_II_combined_sigmar.txt in Q2 range 0.5 - 1000 GeV^2, now we have in total 669 points 
# 0.06 4.6
# === Perturbative settings ===
# Settings: lo (scheme), lobk, balpdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08
# config::INTACCURACY = 0.005, config::RPOINTS = 200, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
=== Initial parameters ===

# ext. ||   Name    ||   type  ||     Value     ||  Error +/- 

   0   ||    qs0sqr ||  const  ||                0.06 ||
   1   ||alphascalingC2 ||  const  ||                 4.6 ||
   2   ||       e_c ||  const  ||                38.9 ||
   3   ||anomalous_dimension ||  const  ||                   1 ||
   4   ||icx0_nlo_impfac ||  const  ||                   1 ||
   5   ||   icx0_bk ||  const  ||                0.01 ||
   6   ||icTypicalPartonVirtualityQ0sqr ||  const  ||                   1 ||
   7   ||initialconditionY0 ||  const  ||                   0 ||
   8   ||      eta0 ||  const  ||                   0 ||
   9   ||old_sigma02 ||  const  ||             35.6952 ||
  10   ||mass_charm ||  const  ||                 1.4 ||
  11   ||mass_bottom ||  const  ||                 4.9 ||



=== Initializing Chi^2 regression ===  parameters (0.06, 4.6, 38.9, 1, 1, 0.01, 1, 0, 0, 35.6952, 1.4, 4.9)
#### Solving BK equation up to y=10.8198
                                                   # Evolved up to 0.4/10.8198, h=0.714206                                                   # Evolved up to 0.8/10.8198, h=0.802348                                                   # Evolved up to 1.2/10.8198, h=0.898463                                                   # Evolved up to 1.6/10.8198, h=1.00454                                                   # Evolved up to 2/10.8198, h=1.10314                                                   # Evolved up to 2.4/10.8198, h=1.11911                                                   # Evolved up to 2.8/10.8198, h=1.12583                                                   # Evolved up to 3.2/10.8198, h=1.14961                                                   # Evolved up to 3.6/10.8198, h=1.16463                                                   # Evolved up to 4/10.8198, h=1.17881                                                   # Evolved up to 4.4/10.8198, h=1.19338                                                   # Evolved up to 4.8/10.8198, h=1.20719                                                   # Evolved up to 5.2/10.8198, h=1.22134                                                   # Evolved up to 5.6/10.8198, h=1.23495                                                   # Evolved up to 6/10.8198, h=1.24822                                                   # Evolved up to 6.4/10.8198, h=1.26157                                                   # Evolved up to 6.8/10.8198, h=1.27483                                                   # Evolved up to 7.2/10.8198, h=0.641307                                                   # Evolved up to 7.6/10.8198, h=1.30084                                                   # Evolved up to 8/10.8198, h=1.29216                                                   # Evolved up to 8.4/10.8198, h=1.32632                                                   # Evolved up to 8.8/10.8198, h=1.33914                                                   # Evolved up to 9.2/10.8198, h=1.35088                                                   # Evolved up to 9.6/10.8198, h=1.35867                                                   # Evolved up to 10/10.8198, h=1.37562                                                   # Evolved up to 10.4/10.8198, h=1.38798                                                   # Evolved up to 10.8/10.8198, h=1.39985                                                   # Evolved up to 11.2/10.8198, h=1.412
#AmplitudeLib initialized , minr: 1e-06 maxr: 27.5255 rpoints: 200 maxy 11.2 x0 0.01 Q_{s,0}^2 = 0.280538 GeV^2 [ N(r^2=2/Q_s^2, x=x0) = 0.3934] (AmplitudeLib v. 2.1 2017-07-25 git commit deb0171bfc81b828f6432ed07df21e25a9196eb4)
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
=== Computing Reduced Cross sections ===
    0.0013         22    0.16722     1.0574  0.0298809     1.0951
     0.002         22     0.1087    0.99039  0.0186549   0.985808
    0.0032         22   0.067935    0.90023  0.0264739   0.875774
     0.005         22   0.043478      0.769  0.0205008   0.779881
     0.008         22   0.027174    0.65607  0.0179925   0.687699
  0.000314         27    0.84968     1.4802  0.0691187    1.41667
  0.000355         27    0.75154     1.4408  0.0421892    1.42952
   0.00041         27    0.65073     1.4618  0.0358588    1.42615
    0.0005         27     0.5336     1.4108  0.0188402    1.40158
    0.0008         27     0.3335     1.2885  0.0140629    1.28976
    0.0013         27    0.20523     1.1536  0.0127233    1.15387
     0.002         27     0.1334     1.0437  0.0117737    1.03658
    0.0032         27   0.083374    0.91323  0.0105178   0.917948
     0.005         27    0.05336    0.79956 0.00921077   0.814498
     0.008         27    0.03335     0.7073 0.00829861   0.715203
 0.0004603         35    0.75136     1.4273  0.0345271    1.45219
    0.0005         35     0.6917     1.4719  0.0372479    1.45106
 0.0005311         35     0.6512     1.4398  0.0240893    1.44653
  0.000616         35    0.56144      1.458  0.0257913    1.42481
  0.000657         35    0.52641     1.4332  0.0220167    1.41312
    0.0008         35    0.43231     1.3864  0.0150013    1.36714
     0.001         35    0.34585     1.3115  0.0173635    1.30552
    0.0013         35    0.26604     1.2224  0.0119157    1.22806
     0.002         35    0.17292      1.099  0.0116437     1.1015
    0.0032         35    0.10808    0.96333  0.0103109   0.971879
     0.005         35    0.06917     0.8507 0.00950538   0.858726
     0.008         35   0.043231    0.74595  0.0084995   0.750092
   0.00059         45    0.75367     1.4678  0.0515207    1.46339
 0.0006341         45    0.70125     1.4511    0.03021    1.46109
    0.0007         45    0.63523     1.4853  0.0389033    1.45189
    0.0008         45    0.55583     1.4601  0.0192028    1.42889
   0.00092         45    0.48333     1.3877  0.0242449    1.39567
    0.0011         45    0.40424     1.3707  0.0223445    1.34822
    0.0013         45    0.34205      1.294  0.0132475    1.29776
     0.002         45    0.22233     1.1521  0.0115633    1.16424
    0.0032         45    0.13896      1.005  0.0103633    1.02451
     0.005         45   0.088933    0.89644  0.0100852   0.901696
     0.008         45   0.055583     0.7804 0.00889242   0.783977
    0.0008         60    0.74111       1.47  0.0301351    1.46522
   0.00086         60     0.6894     1.5457  0.0457615    1.45881
   0.00094         60    0.63073     1.5253  0.0448842    1.44639
    0.0011         60    0.53899     1.4591  0.0301675    1.41528
    0.0013         60    0.45607     1.3909  0.0170427    1.36984
    0.0015         60    0.39526     1.3166  0.0243021    1.32766
     0.002         60    0.29644     1.2342  0.0120735    1.23481
    0.0032         60    0.18528     1.0771   0.010959    1.08487
     0.005         60    0.11858    0.93215 0.00987212   0.951194
     0.008         60   0.074111     0.8185 0.00978869   0.822804
  0.000922         70    0.75022     1.3851   0.087526    1.46005
     0.001         70     0.6917     1.4335  0.0496729    1.45381
    0.0011         70    0.62882     1.5062  0.0442244     1.4397
   0.00124         70    0.55782     1.4447  0.0356205    1.41393
    0.0013         70    0.53208     1.4142  0.0288734    1.40166
     0.002         70    0.34585     1.2456   0.024202    1.27103
    0.0025         70    0.27668       1.19   0.018643    1.19879
    0.0032         70    0.21616     1.0842  0.0152476    1.11699
     0.005         70    0.13834    0.95805  0.0128147   0.977733
     0.008         70   0.086462    0.81942  0.0151756   0.843598
    0.0013         90     0.6841     1.4785  0.0272627    1.43425
    0.0015         90    0.59289     1.4175  0.0285832    1.40705
     0.002         90    0.44466     1.3275  0.0192464    1.32496
    0.0032         90    0.27791     1.1653  0.0137088    1.16849
     0.005         90    0.17787     1.0233  0.0120273    1.02099
     0.008         90    0.11117    0.88253  0.0114409   0.877662
    0.0016        120    0.74111     1.4098  0.0257631    1.41611
   0.00172        120     0.6894     1.4442  0.0590295     1.4052
   0.00188        120    0.63073     1.4127  0.0499743    1.38659
     0.002        120    0.59289     1.3613  0.0187929    1.37082
   0.00212        120    0.55933     1.3859  0.0400388    1.35595
    0.0027        120    0.43917     1.2459  0.0348174    1.28216
    0.0032        120    0.37055     1.2083  0.0137268    1.22393
     0.005        120    0.23715     1.0415  0.0139312    1.06982
     0.008        120    0.14822    0.89275  0.0108967   0.916517
     0.002        150    0.74111     1.3807  0.0269228    1.38403
    0.0032        150    0.46319     1.2348   0.015219    1.26143
     0.005        150    0.29644     1.0778  0.0129808    1.10629
     0.008        150    0.18528    0.92693  0.0137795    0.94641
    0.0026        200    0.76011     1.3123  0.0272973     1.3415
    0.0032        200    0.61759     1.2484  0.0185298    1.29479
     0.005        200    0.39526     1.1099  0.0122369    1.14983
     0.008        200    0.24704    0.94762 0.00952984   0.984139
    0.0033        250    0.74859       1.28  0.0276072    1.29452
     0.005        250    0.49407     1.1266  0.0146362    1.17789
     0.008        250    0.30879    0.95192 0.00994271     1.0122
    0.0039        300    0.76011     1.2182  0.0272739    1.25845
     0.005        300    0.59289     1.1418  0.0197144    1.19408
     0.008        300    0.37055    0.96895  0.0109403    1.03366
    0.0053        400    0.74577     1.1812  0.0273239    1.18602
     0.008        400    0.49407     1.0179  0.0133302    1.06202
    0.0066        500    0.74859     1.0516  0.0253618    1.12746
     0.008        500    0.61759    0.99848  0.0210828    1.07575
    0.0085        650    0.75564     1.0003  0.0265964    1.06059
   8.6e-06        0.5    0.64456    0.44133    0.04642   0.401296
  1.12e-05       0.65    0.64341    0.51034  0.0290393   0.464637
  1.64e-05       0.65     0.4394    0.50701  0.0417343   0.463864
  1.38e-05       0.85    0.68286    0.61437  0.0730793   0.532396
     2e-05       0.85    0.47118    0.60635  0.0202367   0.535198
     2e-05        1.2    0.66519    0.73981  0.0724279   0.629945
   3.2e-05        1.2    0.41574    0.66516  0.0210242   0.626547
   3.2e-05        1.5    0.51968    0.81734  0.0328277    0.69856
  3.27e-05          2    0.67807    0.85607  0.0362689   0.781004
     5e-05          2    0.44346    0.85359  0.0207224   0.778004
  4.09e-05        2.7    0.73187    0.96068  0.0641913    0.86618
     5e-05        2.7    0.59867    0.88646  0.0186918   0.876795
     8e-05        2.7    0.37417    0.90542  0.0343618   0.852467
  5.73e-05        3.5    0.67718     1.0082  0.0471154    0.95091
     8e-05        3.5    0.48503     0.9801  0.0174889   0.947588
  8.18e-05        4.5    0.60989     1.1151  0.0268862    1.02786
   0.00013        4.5    0.38376       1.01  0.0218956   0.994999
  9.86e-05        6.5    0.73085     1.1653  0.0444711     1.1218
   0.00013        6.5    0.55432     1.1735  0.0196365    1.12547
    0.0002        6.5    0.36031     1.1112  0.0225192    1.07632
  0.000139        8.5    0.67795      1.177  0.0361872    1.19509
    0.0002        8.5    0.47118     1.2119  0.0196962    1.17417
   0.00013         10    0.85281     1.1488   0.067489    1.20497
    0.0002         10    0.55432     1.2448  0.0355021     1.2263
  0.000161         12    0.82632     1.2263  0.0696541    1.25236
    0.0002         12    0.66519     1.2828  0.0334399    1.27169
